Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-06 16:00,10.2,0.0,0.0,6.099999904632568,4.099999904632568,0,0,0,0
01-06 17:00,8.9,0.0,0.0,5.900000095367432,3.0,0,0,0,0
01-06 18:00,7.4,0.0,0.0,5.400000095367432,2.0,0,0,0,0
01-06 19:00,7.2,0.0,0.0,5.599999904632568,1.600000023841858,0,0,0,0
01-06 20:00,6.4,0.0,0.0,5.300000190734863,1.100000023841858,0,0,0,0
01-06 21:00,6.5,0.0,0.0,5.599999904632568,0.8999999761581421,0,0,0,0
01-06 22:00,6.0,0.0,0.0,5.199999809265137,0.800000011920929,0,0,0,0
01-06 23:00,5.8,0.0,0.0,5.0,0.800000011920929,0,0,0,0
02-06 00:00,0.9,0.0,0.0,0.0,0.8999999761581421,0,0,0,0
02-06 01:00,0.9,0.0,0.0,0.0,0.800000011920929,0,0,0,0
02-06 02:00,0.9,0.0,0.0,0.0,0.8999999761581421,0,0,0,0
02-06 03:00,0.8,0.0,0.0,0.0,0.800000011920929,0,0,0,0
02-06 04:00,0.8,0.0,0.0,0.0,0.800000011920929,0,0,0,0
02-06 05:00,0.8,0.0,0.0,0.0,0.800000011920929,0,0,0,0
02-06 06:00,0.9,0.0,0.0,0.0,0.8999999761581421,0,0,0,0
02-06 07:00,0.9,0.0,0.0,0.0,0.800000011920929,0,0,0,0
02-06 08:00,1.1,0.0,0.0,0.0,1.100000023841858,0,0,0,0
02-06 09:00,1.6,0.0,0.0,0.0,1.600000023841858,0,0,0,0
02-06 10:00,2.1,0.0,0.0,0.0,2.0999999046325684,0,0,0,0
